num,status,time,timestamp
1,Success,21.85s,20:34:14
2,Success,21.38s,20:34:39
3,Success,24.02s,20:35:07
4,Success,21.07s,20:35:33
5,Success,24.22s,20:36:03
6,Success,20.82s,20:36:29
7,Success,22.00s,20:36:58
8,Success,20.86s,20:37:26
9,Success,20.53s,20:37:51
10,Success,17.76s,20:38:15
11,Success,18.98s,20:38:39
12,Success,22.03s,20:39:05
13,Success,21.69s,20:39:33
14,Success,21.83s,20:40:00
15,Success,18.79s,20:40:22
16,Success,19.57s,20:40:48
17,Success,16.88s,20:41:10
18,Success,21.44s,20:41:36
19,Success,21.42s,20:42:03
20,Success,20.60s,20:42:28
21,Success,21.46s,20:42:56
22,Success,22.50s,20:43:24
23,Success,20.46s,20:43:50
24,Success,22.99s,20:44:17
25,Success,22.92s,20:44:44
26,Success,19.96s,20:45:09
27,Success,22.36s,20:45:37
28,Success,18.04s,20:46:00
29,Success,19.08s,20:46:24
30,Success,20.41s,20:46:51
31,Success,20.27s,20:47:18
32,Success,22.65s,20:47:44
33,Success,20.04s,20:48:11
34,Success,17.66s,20:48:35
35,Success,19.44s,20:48:59
36,Success,19.12s,20:49:22
37,Success,19.72s,20:49:48
38,Success,22.97s,20:50:16
39,Success,20.14s,20:50:42
40,Success,20.04s,20:51:08
41,Success,19.48s,20:51:34
42,Success,20.43s,20:52:01
43,Success,21.52s,20:52:27
44,Success,20.35s,20:52:54
45,Success,19.12s,20:53:19
46,Success,20.34s,20:53:44
47,Success,17.67s,20:54:07
48,Success,19.68s,20:54:30
49,Success,21.43s,20:54:56
50,Success,17.61s,20:55:18
51,Success,21.82s,20:55:47
52,Success,21.57s,20:56:13
53,Success,20.85s,20:56:39
54,Success,21.54s,20:57:06
55,Success,19.74s,20:57:31
56,Success,23.38s,20:57:59
57,Success,22.42s,20:58:26
58,Success,23.30s,20:58:55
59,Success,20.24s,20:59:19
60,Success,18.61s,20:59:43
61,Success,19.77s,21:00:08
62,Success,19.85s,21:00:32
63,Success,18.79s,21:00:55
64,Success,20.44s,21:01:20
65,Success,18.64s,21:01:44
66,Success,20.02s,21:02:09
67,Success,17.67s,21:02:31
68,Success,20.06s,21:02:56
69,Success,20.10s,21:03:22
70,Success,20.22s,21:03:46
71,Success,21.65s,21:04:12
72,Success,21.31s,21:04:40
73,Success,16.93s,21:05:01
74,Success,21.91s,21:05:29
75,Success,20.64s,21:05:56
76,Success,20.25s,21:06:21
77,Success,24.88s,21:06:50
78,Success,19.54s,21:07:16
79,Success,19.00s,21:07:38
80,Success,19.00s,21:08:02
